ward,subcounty,county,latitude,longitude
Hadado Athibohol Ward,Wajir West Sub County,WAJIR,1.612122116691568,39.470762517487636
Jomvu Kuu Ward,Jomvu  Sub County,Mombasa,-3.987642244585018,39.596564647507925
Mungoma Ward,Vihiga Sub County,Vihiga,0.02269948865856493,34.66383101203719
Chesikaki Ward,Cheptais Sub County,Bungoma,0.8055400327709699,34.50218488799448
Chepyuk Ward,Cheptais Sub County,Bungoma,0.8630961614731404,34.565563240181696
Elgon Ward,Mt Elgon Sub County,Bungoma,0.8378439540911523,34.695450016156364
Kisa North Ward,Khwisero Sub County,Kakamega,0.1667092787044999,34.62827782987327
Nambale Township Ward,Nambale Sub County,Busia,0.4658350862390289,34.25332731798231
Bukhayo North Walatsi Ward,Nambale Sub County,Busia,0.5452364646424459,34.34695675940177
Bukhayo East Ward,Nambale Sub County,Busia,0.4831861546234493,34.35509544306824
Bukhayo Central Ward,Nambale Sub County,Busia,0.42754833688212374,34.302808876462514
Bukhayo West Ward,Matayos Sub County,Busia,0.4163669767474926,34.149937610380405
MAROTHILE,MANDERA NORTH,MANDERA,3.7036425769763457,40.95900709858356
RHAMU,MANDERA NORTH,MANDERA,3.860484032415021,41.193915169770584
RHAMU DIMTU,MANDERA NORTH,MANDERA,3.9466353224549757,40.995950244959076
KOTULO,MANDERA SOUTH,MANDERA,2.533259686152811,40.796440893317
ELWAK SOUTH,MANDERA SOUTH,MANDERA,2.829161108314403,40.85198133620138
SHAMBIR FATUMA,MANDERA SOUTH,MANDERA,2.9837522641573404,40.53583235442563
ARABIA,MANDERA EAST,MANDERA,3.6345324432597965,41.54026697953148
BUTIYE,MOYALE,MARSABIT,3.4224917409215383,38.98238235120991
SOLOLO,MOYALE,MARSABIT,3.5536707722742205,38.686193311349804
HEILLU/MANYATTA,MOYALE,MARSABIT,3.4989016633933256,39.11191262651983
GOLBO,MOYALE,MARSABIT,3.182384151054849,39.135045086234534
NORTH HORR,NORTH HORR,MARSABIT,3.49482142939395,36.8052200454205
ILLERET,NORTH HORR,MARSABIT,4.1074231995458845,36.44643459953971
SAGANTE/JALDESA,SAKU,MARSABIT,2.349909738450843,38.06571790645967
Matayos South Ward,Matayos Sub County,Busia,0.3646041099929759,34.19002797249936
Busibwabo Ward,Matayos Sub County,Busia,0.4182636634507721,34.20507174835802
Burumba Ward,Matayos Sub County,Busia,0.45172001164998316,34.113984343685566
LAISAMIS,LAISAMIS,MARSABIT,1.5972507979979786,37.92624480160063
Maua Ward,Igembe South Sub County,MERU,0.2412459656065922,37.94854561365705
Kiegoi/antubochiu Ward,Igembe South Sub County,MERU,0.22503368123979497,37.920893494564744
Athiru gaiti Ward,Igembe South Sub County,MERU,0.20546179258657418,38.01248856544736
Akachiu Ward,Igembe South Sub County,MERU,0.14364558415011447,37.94326477109074
Kanuni Ward,Igembe South Sub County,MERU,0.14280839453052144,37.99458488440431
Akirang'ondu Ward,Igembe Central Sub County,MERU,0.33270173031591393,37.8852589864458
Athiru ruujine Ward,Igembe Central Sub County,MERU,0.12163987887266281,38.184024374774275
Kiengu/Igembe East ward,Igembe Central Sub County,MERU,0.2498885956883166,38.023167357128244
Njia Ward,Igembe Central Sub County,MERU,0.41118042880295574,37.79660028432045
