Ward,Latitude,Longitude,Irradiance_kWh/m2/day,Ambient_Temperature_C
Lyaduywa/izava Ward,0.094624275878048,34.71973126467778,5.97,20.7
West Sabatia Ward,0.1281872970078086,34.726292329783384,6.0,20.8
Nanighi Ward,-0.7541761236704794,40.09992842304589,5.48,28.3
Hulugho Ward,-1.3386111362069515,41.15139168376922,5.43,27.4
Sangailu Ward,-1.4184358698081354,40.75270191117124,5.38,27.7
North Maragoli Ward,0.0926434235758641,34.76329770942831,5.94,20.4
Wodanga Ward,0.1032363637658328,34.793953040657094,5.92,20.3
Luanda Township Ward,0.0306462140315474,34.597833911855616,6.03,21.1
Wemilabi Ward,0.053438468752895,34.63997968698921,6.0,21.2
Mwibona Ward,0.0175997854989191,34.562865181420015,6.05,21.4
Malkagufu Ward,2.639332686144769,39.48770322664839,5.38,27.1
Batalu Ward,2.8923401817938545,39.74340700858515,5.3,25.9
Emabungo Ward,0.0201299752737849,34.626139832660314,6.01,20.6
Godoma Ward,3.3482829408052592,39.35967220202369,5.16,25.8
Central Bunyore Ward,0.0840587143941926,34.61127466380081,6.04,21.0
West Bunyore Ward,0.0734791680966317,34.579173223655346,6.04,21.1
Mikinduni Ward,-1.5451887538074676,39.97822447864613,5.37,28.2
Khorof/Harar Ward,1.9556164834848964,40.6863139689113,5.34,28.1
Elben Ward,2.66671293397399,40.28055024102683,5.35,25.8
Sarman Ward,2.626061018902553,39.99719033786804,5.35,26.1
Tarbaj Ward,2.05951281443815,40.09482259287239,5.44,27.7
Wargadud Ward,2.316979674308443,40.44275107188645,5.31,27.0
Bura Ward,-3.551128443132807,38.2170775538572,5.33,23.0
Hadado Athibohol Ward,1.612122116691568,39.47076251748764,5.71,28.4
Jomvu Kuu Ward,-3.987642244585018,39.596564647507925,5.46,26.4
Mungoma Ward,0.0226994886585649,34.66383101203719,5.98,20.3
Chesikaki Ward,0.8055400327709699,34.50218488799448,5.48,21.6
Chepyuk Ward,0.8630961614731404,34.565563240181696,5.17,16.8
Elgon Ward,0.8378439540911523,34.695450016156364,5.65,18.5
Kisa North Ward,0.1667092787044999,34.62827782987327,6.06,21.4
Nambale Township Ward,0.4658350862390289,34.25332731798231,6.1,22.3
Bukhayo North Walatsi Ward,0.5452364646424459,34.34695675940177,6.07,22.4
Bukhayo East Ward,0.4831861546234493,34.35509544306824,6.09,22.2
Bukhayo Central Ward,0.4275483368821237,34.302808876462514,6.11,22.4
Bukhayo West Ward,0.4163669767474926,34.149937610380405,6.04,22.3
MAROTHILE,3.7036425769763457,40.95900709858356,5.72,26.4
RHAMU,3.860484032415021,41.19391516977058,5.81,27.9
RHAMU DIMTU,3.946635322454976,40.99595024495908,5.73,27.0
KOTULO,2.533259686152811,40.796440893317,5.4,27.4
ELWAK SOUTH,2.829161108314403,40.85198133620138,5.52,27.3
SHAMBIR FATUMA,2.9837522641573404,40.53583235442563,5.36,26.6
ARABIA,3.634532443259797,41.54026697953148,5.89,27.9
BUTIYE,3.4224917409215383,38.98238235120991,5.18,26.1
